,id
2,8461735141
18,8458567498
31,8456770626
42,8450892039
58,8449325870
72,8448961923
90,8447715678
104,8447103373
117,8446788561
133,8446405148
144,7944311818
145,7944174632
146,7944065089
147,7943810234
148,7943704335
149,7943623713
150,7942767036
151,7942638105
152,7942490677
153,7942358571
154,7942208056
155,7942136774
156,7942030630
157,7941965902
158,7941236956
159,7941137970
160,7940981142
161,7940884177
162,7940718744
163,7940653890
164,7940546722
165,7940501580
166,7937293101
167,7937235680
168,7937136410
169,7937026070
170,7936911418
171,7936796980
172,7936701967
173,7936609569
174,7936520519
175,7936468334
176,7936398486
177,7935724693
178,7935628244
179,7935519998
180,7935409271
181,7935308931
182,7935234871
183,7935152091
184,7935087384
185,7935041049
186,7934359821
187,7934252472
188,7934129660
189,7933944690
190,7933833565
191,7933710437
192,7933607087
193,7933540966
194,7933465064
195,7932744081
196,7932637495
197,7932554733
198,7932411449
199,7932276041
200,7932133662
201,7932026809
202,7931926847
203,7931849156
204,7931767717
205,7931106306
206,7930995251
207,7930893265
208,7930776393
209,7930666447
210,7930529022
211,7930461959
212,7930378771
213,7930304864
214,7930252755
215,7929598163
216,7929556224
217,7929545363
218,7929405044
219,7929316152
220,7929314904
221,7929250556
222,7929199194
223,7929188090
224,7929170690
225,7929126875
226,7929087653
227,7929080268
228,7929057445
229,7929024760
230,7929019186
231,7929005346
232,7928969814
233,7928964450
234,7928957343
235,7928927852
236,7928915377
237,7928396832
238,7928380785
239,7928364306
240,7928291791
241,7928291729
242,7928288761
243,7928205327
244,7928200136
245,7928185091
246,7928115077
247,7928100793
248,7928077736
249,7928009336
250,7928006446
251,7927995323
252,7927914488
253,7927906150
254,7927895267
255,7927835333
256,7927826080
257,7927814402
258,7927766744
259,7927758752
260,7927758213
261,7927718184
262,7927715273
263,7927711289
264,7927665254
265,7927665228
266,7927665226
267,8401081219
268,8400978881
269,8400889142
270,8400804784
271,8400702503
272,8400594503
273,8400528634
274,8399572812
275,8399478592
276,8399395274
277,8399312388
278,8399234434
279,8399138071
280,8399069725
281,8399002603
282,8398937779
283,8398342136
284,8398224091
285,8398117370
286,8398038407
287,8397916998
288,8397830316
289,8397762037
290,8397698062
291,8397648250
292,8397605965
293,8397080022
294,8396812326
295,8396708130
296,8396647993
297,8396565081
298,8396483277
299,8396410029
300,8396360258
301,8396318798
302,8395269156
303,8395247968
304,8395216971
305,8395205594
306,8395166973
307,8395159337
308,8395122290
309,8395110761
310,8395089062
311,8395069663
312,8395036601
313,8395032932
314,8394985299
315,8394984170
316,8394236611
317,8394170729
318,8394149145
319,8394100070
320,8394056329
321,8394004720
322,8393997734
323,8393938493
324,8393936614
325,8393882299
326,8393873756
327,8393819593
328,8393817141
329,8393772442
330,8393767215
331,8393728241
332,8393728114
333,8393691152
334,8393686593
335,8393651518
336,8393647341
337,8392674471
338,8392611784
339,8392583515
340,8392541266
341,8392528607
342,8392483273
343,8392458387
344,8392438234
345,8392421360
346,8392390684
347,8392385254
348,8392352902
349,8392339200
350,8392306732
351,8392295840
366,8376851427
382,8371514783
398,8369888320
414,8367767103
429,8366657083
441,8354699290
442,8354567282
443,8354480694
444,8354382213
445,8354257768
446,8354175878
447,8353359130
448,8353262933
449,8353157647
450,8353058756
451,8352960592
452,8352883265
453,8352813519
454,8352741566
455,8352677382
456,8351977685
457,8351873273
458,8351766645
459,8351671662
460,8351581412
461,8351493416
462,8351434122
463,8351376797
464,8351333765
465,8350860469
466,8350783354
467,8350698344
468,8350615853
469,8350525703
470,8350406925
471,8350324469
472,8350256686
473,8350191116
474,8350133577
475,8350065447
476,8349374547
477,8349274933
478,8349178884
479,8349062942
480,8348987197
481,8348928549
482,8348856467
483,8348814462
484,8348169109
485,8348061758
486,8347988030
487,8347930251
488,8347888740
489,8347812621
490,8347800900
491,8347728041
492,8347720251
493,8347662424
494,8347641930
495,8347599405
496,8347598015
497,8347555803
498,8347555793
499,8346893969
500,8346867930
501,8346781135
502,8346775035
503,8346681807
504,8346674422
505,8346579796
506,8346565970
507,8346502952
508,8346490774
509,8346430978
510,8346422039
511,8346379709
512,8346376080
513,8346334592
514,8346321736
515,8346288794
516,8346288771
517,8345591696
518,8345524901
519,8345496865
520,8345450484
521,8345443681
522,8345339046
523,8345336921
524,8345245687
525,8345242715
526,8345152574
527,8345140225
528,8345073843
529,8345062950
530,8345002924
531,8344986665
532,8344929486
533,8344921523
534,8344851804
535,8344851788
536,8344225364
537,8344181922
538,8344143132
539,8344105841
540,8344053978
541,8344009421
542,8343936640
543,8343915886
544,8343820821
545,8343813326
546,8343717060
547,8343705315
548,8343640986
549,8343631881
550,8343581768
551,8343556598
552,8343509938
553,8343485696
554,8343435301
555,8343426799
556,8343373252
557,8343373163
578,8312893959
610,8308860629
642,8304252478
693,8301640076
757,8299264305
760,8289695614
761,8289588109
762,8289464698
763,8289346025
764,8288223737
765,8288110586
766,8287910379
767,8287784252
768,8286728215
769,8286655511
770,8286497958
771,8286388744
772,8285634264
773,8285560482
774,8285493861
775,8285367470
776,8285282661
777,8285119302
778,8284286527
779,8284211318
780,8284101259
781,8284050943
782,8283895051
783,8283068943
784,8283008349
785,8282989811
786,8282931900
787,8282909694
788,8282852894
789,8282813621
790,8282766915
791,8282738176
792,8282687386
793,8282647431
794,8282617577
795,8282581557
796,8282562220
797,8282520160
798,8282518155
799,8282469586
800,8282466317
801,8282426352
802,8282424211
803,8271320048
804,8271224406
805,8271103518
806,8270983304
807,8270889523
808,8270701730
809,8270636459
810,8270074047
811,8269971961
812,8269883556
813,8269797398
814,8269676933
815,8269575719
816,8269487199
817,8269406691
818,8269317305
819,8269256982
820,8269185150
821,8268628762
822,8268537458
823,8268439526
824,8268341739
825,8268215993
826,8268118234
827,8268051434
828,8268001532
829,8267941933
830,8267884608
831,8267291299
832,8267177847
833,8267098354
834,8266997760
835,8266926541
836,8266865035
837,8266811718
838,8266754563
839,8266713450
840,8265842142
841,8265765707
842,8265699842
843,8265651162
844,8265596440
845,8265556672
846,8264905771
847,8264802865
848,8264766445
849,8264710589
850,8264688137
851,8264635798
852,8264593441
853,8264567058
854,8264533747
855,8264492499
856,8264482418
857,8264431247
858,8264426709
859,8264388448
860,8264388384
861,8263883193
862,8263784977
863,8263722771
864,8263670960
865,8263615031
866,8263573962
867,8263508529
868,8263478361
869,8263438413
870,8263423565
871,8263380750
872,8263336841
873,8263323811
874,8263271927
875,8263271273
876,8263228818
877,8263220936
878,8263188126
879,8263188088
880,8262544526
881,8262481311
882,8262435050
883,8262355859
884,8262319980
885,8262262487
886,8262234049
887,8262173274
888,8262139890
889,8262101590
890,8262062332
891,8262023025
892,8261983795
893,8261950535
894,8261906108
895,8261900521
896,8261832223
897,8261832176
898,8261324016
899,8261208455
900,8261097962
901,8261079483
902,8260992196
903,8260982716
904,8260894253
905,8260851339
906,8260793281
907,8260757598
908,8260697818
909,8260668978
910,8260617860
911,8260595904
