,match_id,heroId,steamAccountId,partyId,kills,deaths,assists,isRadiant,isVictory,variant,imp,lane,position,networth,goldPerMinute,goldSpent,towerDamage,heroDamage,intentionalFeeding,proSteamAccount_teamId,proSteamAccount_name
49,2049664745,86,102549639,,4,2,3,False,False,,9.0,ROAMING,,,219,4040,0,5426,False,,
50,2049756270,20,100028335,,2,4,17,True,True,,51.0,SAFE_LANE,,,300,8265,945,5683,False,,
51,2049756270,22,96196828,,13,3,17,True,True,,63.0,MID_LANE,,,522,13475,331,19466,False,46.0,633
52,2049756270,100,76600360,,8,2,17,True,True,,54.0,ROAMING,,,378,7950,511,6895,False,0.0,yol
53,2049756270,67,53178236,,8,2,18,True,True,,100.0,SAFE_LANE,,,638,15965,2443,13112,False,8099247.0,Sedoy
54,2049756270,61,92847434,,5,3,11,True,True,,-6.0,OFF_LANE,,,557,10915,3228,7330,False,0.0,Ghostik
55,2049756270,3,123444610,,3,7,5,False,False,,-15.0,SAFE_LANE,,,201,4425,107,3526,False,,
56,2049756270,53,244825713,,2,8,4,False,False,,-8.0,OFF_LANE,,,446,9390,1570,4269,False,,
57,2049756270,78,191422410,,6,7,4,False,False,,79.0,MID_LANE,,,475,11505,104,11614,False,,
58,2049756270,25,11550182,,0,7,8,False,False,,100.0,SAFE_LANE,,,288,7390,0,3713,False,8741396.0,VANSKOR
59,2049756270,48,67166425,,3,9,6,False,False,,16.0,SAFE_LANE,,,406,10285,287,4084,False,,
60,2049759347,3,6103402,,2,4,6,True,True,,8.0,SAFE_LANE,,,378,4825,59,4821,False,0.0,Solen
61,2049759347,20,31763321,,5,0,12,True,True,,100.0,SAFE_LANE,,,484,8210,1046,7457,False,,
62,2049759347,66,109512357,,7,1,5,True,True,,73.0,ROAMING,,,500,8305,2843,6107,False,0.0,Biver
63,2049759347,25,42989814,,4,1,6,True,True,,12.0,MID_LANE,,,529,7830,395,8080,False,,
64,2049759347,80,31456357,,3,0,7,True,True,,28.0,OFF_LANE,,,477,7540,2659,2686,False,,
65,2049759347,28,99539136,,2,3,1,False,False,,12.0,OFF_LANE,,,256,4235,0,2913,False,,
66,2049759347,101,56025217,,1,5,2,False,False,,-13.0,SAFE_LANE,,,193,2775,0,3292,False,,
67,2049759347,12,95439451,,0,3,0,False,False,,-27.0,SAFE_LANE,,,331,4905,66,2309,False,,Gedrox
68,2049759347,74,82659961,,1,3,1,False,False,,-21.0,MID_LANE,,,399,5045,531,2728,False,,
69,2049759347,62,86740536,,2,8,3,False,False,,0.0,ROAMING,,,206,3025,0,4489,False,,
70,2049773936,7,101225857,,7,9,13,True,False,,8.0,ROAMING,,,317,8450,73,11574,False,,
71,2049773936,27,92148571,,3,14,12,True,False,,-24.0,ROAMING,,,286,8690,868,4967,False,,
72,2049773936,106,106526198,,4,8,3,True,False,,-27.0,SAFE_LANE,,,391,10490,45,6877,False,,
73,2049773936,39,92514743,,15,9,8,True,False,,-4.0,MID_LANE,,,388,10910,198,19882,False,,
74,2049773936,50,102549639,,3,6,12,True,False,,-1.0,SAFE_LANE,,,220,6195,0,3807,False,,
75,2049773936,71,122372779,,6,10,15,False,True,,10.0,ROAMING,,,397,12815,493,10063,False,,
76,2049773936,72,86832913,,19,1,9,False,True,,66.0,SAFE_LANE,,,769,25085,6132,28824,False,,
77,2049773936,87,105767669,,3,6,11,False,True,,22.0,SAFE_LANE,,,331,8815,258,5018,False,,
78,2049773936,28,100235084,,5,6,13,False,True,,27.0,OFF_LANE,,,437,13300,1055,7534,False,,
79,2049773936,92,86834305,,11,10,19,False,True,,-7.0,MID_LANE,,,478,16140,1539,20534,False,,
80,2049837414,100,99539136,,3,2,8,True,False,,100.0,OFF_LANE,,,296,11060,397,9219,False,,
81,2049837414,25,56025217,,2,9,11,True,False,,67.0,ROAMING,,,289,12915,102,8161,False,,
82,2049837414,106,95439451,,4,6,6,True,False,,100.0,SAFE_LANE,,,517,18035,975,16262,False,,Gedrox
83,2049837414,97,82659961,,3,5,9,True,False,,100.0,MID_LANE,,,369,12875,215,8906,False,,
84,2049837414,89,86740536,,4,11,8,True,False,,87.0,ROAMING,,,285,9350,289,3904,False,,
85,2049837414,85,6103402,,4,2,20,False,True,,,ROAMING,,,329,10990,47,4792,False,0.0,Solen
86,2049837414,52,31763321,,4,4,14,False,True,,15.0,OFF_LANE,,,443,15600,5101,10884,False,,
87,2049837414,111,109512357,,5,6,10,False,True,,33.0,OFF_LANE,,,320,11315,436,9605,False,0.0,Biver
88,2049837414,77,42989814,,8,5,9,False,True,,-15.0,MID_LANE,,,574,21910,4181,13557,False,,
89,2049837414,38,31456357,,8,1,12,False,True,,11.0,SAFE_LANE,,,522,21490,4400,10500,False,,
