,isPick,heroId,order,isRadiant,match_id
179,True,52.0,19,False,2049837414
180,False,,0,True,2049908794
181,False,,1,False,2049908794
182,False,,2,True,2049908794
183,False,,3,False,2049908794
184,True,20.0,4,True,2049908794
185,True,80.0,5,False,2049908794
186,True,64.0,6,False,2049908794
187,True,106.0,7,True,2049908794
188,False,,8,True,2049908794
189,False,,9,False,2049908794
190,False,,10,True,2049908794
191,False,,11,False,2049908794
192,True,85.0,12,False,2049908794
193,True,68.0,13,True,2049908794
194,True,27.0,14,False,2049908794
195,True,89.0,15,True,2049908794
196,False,,16,False,2049908794
197,False,,17,True,2049908794
198,True,49.0,18,False,2049908794
199,True,16.0,19,True,2049908794
